,Date,open,high,low,close,V,Hour
2162,2018-12-28 23:10:00,31621,31637,31617,31630,67,23
2163,2018-12-28 23:15:00,31630,31638,31626,31635,52,23
2164,2018-12-28 23:20:00,31635,31637,31602,31603,239,23
2165,2018-12-28 23:25:00,31603,31608,31587,31595,352,23
2166,2018-12-28 23:30:00,31595,31610,31587,31600,114,23
2167,2018-12-28 23:35:00,31600,31607,31588,31594,56,23
2168,2018-12-28 23:40:00,31594,31603,31585,31599,207,23
2169,2018-12-28 23:45:00,31599,31627,31593,31627,111,23
2170,2018-12-28 23:50:00,31627,31643,31620,31642,67,23
2171,2018-12-31 09:00:00,31571,31571,31524,31545,52,9
2172,2018-12-31 09:05:00,31545,31545,31532,31540,77,9
2173,2018-12-31 09:10:00,31540,31540,31530,31530,63,9
2174,2018-12-31 09:15:00,31530,31549,31530,31540,103,9
2175,2018-12-31 09:20:00,31540,31560,31531,31551,55,9
2176,2018-12-31 09:25:00,31551,31551,31540,31547,34,9
2177,2018-12-31 09:30:00,31547,31555,31540,31555,34,9
2178,2018-12-31 09:35:00,31555,31575,31547,31565,70,9
2179,2018-12-31 09:40:00,31565,31572,31565,31572,25,9
2180,2018-12-31 09:45:00,31572,31576,31572,31572,39,9
2181,2018-12-31 09:50:00,31572,31579,31570,31576,24,9
2182,2018-12-31 09:55:00,31576,31577,31562,31568,30,9
2183,2018-12-31 10:00:00,31568,31579,31565,31571,52,10
2184,2018-12-31 10:05:00,31571,31588,31571,31585,25,10
2185,2018-12-31 10:10:00,31585,31591,31585,31587,28,10
2186,2018-12-31 10:15:00,31587,31590,31579,31580,35,10
2187,2018-12-31 10:20:00,31580,31585,31577,31585,23,10
2188,2018-12-31 10:25:00,31585,31585,31577,31580,14,10
2189,2018-12-31 10:30:00,31580,31580,31577,31580,27,10
2190,2018-12-31 10:35:00,31580,31595,31580,31583,48,10
2191,2018-12-31 10:40:00,31583,31588,31580,31585,29,10
2192,2018-12-31 10:45:00,31585,31588,31581,31588,5,10
2193,2018-12-31 10:50:00,31588,31588,31579,31579,19,10
2194,2018-12-31 10:55:00,31579,31579,31575,31576,22,10
2195,2018-12-31 11:00:00,31576,31578,31576,31576,2,11
2196,2018-12-31 11:05:00,31570,31572,31559,31563,97,11
2197,2018-12-31 11:10:00,31563,31575,31563,31572,17,11
2198,2018-12-31 11:15:00,31572,31575,31569,31571,13,11
2199,2018-12-31 11:20:00,31571,31577,31568,31568,28,11
2200,2018-12-31 11:25:00,31568,31570,31556,31560,34,11
2201,2018-12-31 11:30:00,31560,31560,31555,31555,6,11
2202,2018-12-31 11:35:00,31555,31560,31548,31548,37,11
2203,2018-12-31 11:40:00,31548,31555,31545,31554,11,11
2204,2018-12-31 11:45:00,31554,31562,31554,31562,16,11
2205,2018-12-31 11:50:00,31562,31573,31562,31569,30,11
2206,2018-12-31 11:55:00,31569,31576,31566,31569,39,11
2207,2018-12-31 12:00:00,31569,31580,31568,31578,38,12
2208,2018-12-31 12:05:00,31578,31587,31578,31582,53,12
2209,2018-12-31 12:10:00,31582,31586,31571,31578,53,12
2210,2018-12-31 12:15:00,31578,31588,31577,31584,45,12
2211,2018-12-31 12:20:00,31584,31584,31570,31572,69,12
2212,2018-12-31 12:25:00,31572,31572,31557,31559,249,12
2213,2018-12-31 12:30:00,31559,31561,31302,31337,961,12
2214,2018-12-31 12:35:00,31336,31468,31300,31444,554,12
2215,2018-12-31 12:40:00,31444,31444,31416,31430,136,12
2216,2018-12-31 12:45:00,31430,31430,31402,31405,113,12
2217,2018-12-31 12:50:00,31405,31405,31305,31334,462,12
2218,2018-12-31 12:55:00,31334,31395,31334,31385,217,12
2219,2018-12-31 13:00:00,31385,31394,31379,31389,70,13
2220,2018-12-31 13:05:00,31389,31397,31352,31366,113,13
2221,2018-12-31 13:10:00,31366,31371,31361,31369,107,13
2222,2018-12-31 13:15:00,31369,31372,31366,31366,81,13
2223,2018-12-31 13:20:00,31366,31372,31363,31370,47,13
2224,2018-12-31 13:25:00,31370,31388,31365,31381,95,13
2225,2018-12-31 13:30:00,31381,31382,31351,31369,101,13
2226,2018-12-31 13:35:00,31369,31384,31368,31379,75,13
2227,2018-12-31 13:40:00,31379,31408,31379,31398,71,13
2228,2018-12-31 13:45:00,31398,31399,31371,31375,35,13
2229,2018-12-31 13:50:00,31375,31375,31364,31375,55,13
2230,2018-12-31 13:55:00,31375,31391,31367,31389,54,13
2231,2018-12-31 14:00:00,31389,31390,31375,31390,30,14
2232,2018-12-31 14:05:00,31390,31395,31378,31378,25,14
2233,2018-12-31 14:10:00,31378,31379,31367,31379,71,14
2234,2018-12-31 14:15:00,31379,31379,31360,31370,56,14
2235,2018-12-31 14:20:00,31370,31370,31365,31369,22,14
2236,2018-12-31 14:25:00,31369,31370,31361,31369,39,14
2237,2018-12-31 14:30:00,31369,31387,31360,31387,83,14
2238,2018-12-31 14:35:00,31387,31394,31375,31386,164,14
2239,2018-12-31 14:40:00,31386,31388,31378,31385,17,14
2240,2018-12-31 14:45:00,31385,31393,31385,31389,66,14
2241,2018-12-31 14:50:00,31389,31395,31383,31391,32,14
2242,2018-12-31 14:55:00,31391,31395,31374,31374,58,14
2243,2018-12-31 15:00:00,31374,31395,31374,31389,36,15
2244,2018-12-31 15:05:00,31389,31410,31389,31395,94,15
2245,2018-12-31 15:10:00,31395,31404,31391,31395,59,15
2246,2018-12-31 15:15:00,31395,31395,31384,31388,14,15
2247,2018-12-31 15:20:00,31387,31400,31387,31399,11,15
2248,2018-12-31 15:25:00,31399,31404,31393,31404,16,15
2249,2018-12-31 15:30:00,31404,31415,31399,31415,33,15
2250,2018-12-31 15:35:00,31415,31425,31411,31412,42,15
2251,2018-12-31 15:40:00,31412,31425,31412,31425,82,15
2252,2018-12-31 15:45:00,31425,31425,31417,31418,31,15
2253,2018-12-31 15:50:00,31418,31447,31418,31434,150,15
2254,2018-12-31 15:55:00,31434,31441,31432,31438,41,15
2255,2018-12-31 16:00:00,31438,31440,31410,31420,151,16
2256,2018-12-31 16:05:00,31420,31446,31416,31446,30,16
2257,2018-12-31 16:10:00,31446,31457,31443,31453,71,16
2258,2018-12-31 16:15:00,31453,31466,31446,31446,84,16
2259,2018-12-31 16:20:00,31446,31446,31428,31434,33,16
2260,2018-12-31 16:25:00,31434,31438,31427,31433,14,16
2261,2018-12-31 16:30:00,31433,31436,31404,31404,63,16
2262,2018-12-31 16:35:00,31404,31425,31404,31419,32,16
2263,2018-12-31 16:40:00,31419,31450,31419,31442,27,16
2264,2018-12-31 16:45:00,31442,31455,31442,31450,29,16
2265,2018-12-31 16:50:00,31450,31470,31450,31468,81,16
2266,2018-12-31 16:55:00,31468,31468,31444,31458,52,16
2267,2018-12-31 17:00:00,31458,31458,31450,31455,56,17
2268,2018-12-31 17:05:00,31455,31470,31451,31456,39,17
2269,2018-12-31 17:10:00,31456,31475,31445,31458,154,17
2270,2018-12-31 17:15:00,31458,31471,31456,31467,37,17
2271,2018-12-31 17:20:00,31467,31480,31465,31473,76,17
2272,2018-12-31 17:25:00,31473,31473,31457,31462,44,17
2273,2018-12-31 17:30:00,31462,31465,31451,31452,27,17
2274,2018-12-31 17:35:00,31452,31474,31452,31465,94,17
2275,2018-12-31 17:40:00,31465,31473,31465,31469,17,17
2276,2018-12-31 17:45:00,31469,31475,31464,31464,42,17
2277,2018-12-31 17:50:00,31464,31484,31453,31484,44,17
2278,2018-12-31 17:55:00,31484,31484,31454,31472,77,17
2279,2018-12-31 18:00:00,31472,31472,31441,31441,34,18
2280,2018-12-31 18:05:00,31441,31462,31441,31460,15,18
2281,2018-12-31 18:10:00,31460,31464,31455,31457,26,18
2282,2018-12-31 18:15:00,31457,31465,31452,31465,43,18
2283,2018-12-31 18:20:00,31465,31473,31455,31470,25,18
2284,2018-12-31 18:25:00,31470,31476,31461,31474,39,18
2285,2018-12-31 18:30:00,31474,31475,31454,31454,20,18
2286,2018-12-31 18:35:00,31454,31460,31438,31439,49,18
2287,2018-12-31 18:40:00,31441,31460,31440,31457,42,18
2288,2018-12-31 18:45:00,31457,31458,31435,31446,37,18
2289,2018-12-31 18:50:00,31446,31447,31432,31432,27,18
2290,2018-12-31 18:55:00,31432,31432,31420,31427,43,18
2291,2018-12-31 19:00:00,31427,31427,31382,31390,97,19
2292,2018-12-31 19:05:00,31390,31395,31381,31381,70,19
2293,2018-12-31 19:10:00,31381,31405,31378,31399,111,19
2294,2018-12-31 19:15:00,31399,31399,31378,31380,35,19
2295,2018-12-31 19:20:00,31380,31387,31378,31383,41,19
2296,2018-12-31 19:25:00,31383,31390,31380,31387,25,19
2297,2018-12-31 19:30:00,31387,31390,31380,31380,34,19
2298,2018-12-31 19:35:00,31380,31398,31380,31398,63,19
2299,2018-12-31 19:40:00,31398,31398,31385,31385,18,19
2300,2018-12-31 19:45:00,31385,31385,31365,31378,57,19
2301,2018-12-31 19:50:00,31378,31378,31364,31375,23,19
2302,2018-12-31 19:55:00,31375,31375,31360,31370,24,19
2303,2018-12-31 20:00:00,31370,31380,31368,31377,22,20
2304,2018-12-31 20:05:00,31377,31380,31360,31360,18,20
2305,2018-12-31 20:10:00,31360,31384,31360,31376,12,20
2306,2018-12-31 20:15:00,31376,31388,31373,31385,26,20
2307,2018-12-31 20:20:00,31385,31385,31368,31373,13,20
2308,2018-12-31 20:25:00,31373,31385,31372,31385,12,20
2309,2018-12-31 20:30:00,31385,31399,31382,31399,17,20
2310,2018-12-31 20:35:00,31399,31399,31385,31385,10,20
2311,2018-12-31 20:40:00,31385,31387,31375,31376,24,20
2312,2018-12-31 20:45:00,31376,31379,31375,31379,4,20
2313,2018-12-31 20:50:00,31379,31379,31360,31368,17,20
2314,2018-12-31 20:55:00,31364,31379,31364,31364,11,20
2315,2018-12-31 21:00:00,31364,31378,31364,31377,9,21
2316,2018-12-31 21:05:00,31377,31377,31355,31369,27,21
2317,2018-12-31 21:10:00,31369,31377,31368,31368,12,21
2318,2018-12-31 21:15:00,31368,31406,31368,31406,28,21
2319,2018-12-31 21:20:00,31406,31427,31391,31425,33,21
2320,2018-12-31 21:25:00,31425,31425,31410,31410,21,21
2321,2018-12-31 21:30:00,31410,31440,31408,31437,42,21
2322,2018-12-31 21:35:00,31437,31440,31426,31426,22,21
2323,2018-12-31 21:40:00,31426,31435,31420,31421,17,21
2324,2018-12-31 21:45:00,31421,31431,31414,31422,19,21
2325,2018-12-31 21:50:00,31422,31445,31417,31445,35,21
2326,2018-12-31 21:55:00,31445,31445,31432,31432,23,21
2327,2018-12-31 22:00:00,31432,31444,31428,31430,12,22
2328,2018-12-31 22:05:00,31430,31440,31430,31430,7,22
2329,2018-12-31 22:10:00,31430,31435,31430,31430,3,22
2330,2018-12-31 22:15:00,31430,31440,31415,31415,31,22
2331,2018-12-31 22:20:00,31415,31425,31412,31420,15,22
2332,2018-12-31 22:25:00,31425,31439,31423,31436,21,22
2333,2018-12-31 22:30:00,31436,31441,31428,31441,8,22
2334,2018-12-31 22:35:00,31441,31441,31420,31424,8,22
2335,2018-12-31 22:40:00,31424,31436,31420,31421,4,22
2336,2018-12-31 22:45:00,31421,31430,31421,31422,16,22
2337,2018-12-31 22:50:00,31422,31429,31421,31421,4,22
2338,2018-12-31 22:55:00,31421,31421,31410,31410,20,22
2339,2018-12-31 23:00:00,31410,31410,31403,31404,13,23
2340,2018-12-31 23:05:00,31404,31406,31380,31387,37,23
2341,2018-12-31 23:10:00,31387,31387,31380,31382,19,23
2342,2018-12-31 23:15:00,31382,31397,31382,31397,15,23
2343,2018-12-31 23:20:00,31397,31409,31391,31400,10,23
2344,2018-12-31 23:25:00,31400,31408,31390,31397,17,23
2345,2018-12-31 23:30:00,31397,31420,31388,31388,65,23
2346,2018-12-31 23:35:00,31388,31400,31386,31390,15,23
2347,2018-12-31 23:40:00,31390,31425,31372,31390,128,23
2348,2018-12-31 23:45:00,31390,31412,31373,31389,54,23
2349,2018-12-31 23:50:00,31389,31389,31355,31355,42,23
2350,2019-01-01 09:00:00,31409,31461,31374,31389,29,9
2351,2019-01-01 09:05:00,31389,31397,31372,31389,41,9
2352,2019-01-01 09:10:00,31389,31389,31380,31380,2,9
2353,2019-01-01 09:15:00,31380,31380,31357,31357,43,9
2354,2019-01-01 09:20:00,31366,31367,31357,31357,37,9
2355,2019-01-01 09:25:00,31357,31385,31357,31385,19,9
2356,2019-01-01 09:30:00,31385,31445,31381,31425,88,9
2357,2019-01-01 09:35:00,31425,31425,31412,31420,39,9
2358,2019-01-01 09:40:00,31420,31424,31413,31413,38,9
2359,2019-01-01 09:45:00,31413,31413,31370,31370,90,9
2360,2019-01-01 09:50:00,31370,31410,31370,31372,70,9
2361,2019-01-01 09:55:00,31372,31411,31372,31392,53,9
2362,2019-01-01 10:00:00,31392,31410,31380,31409,43,10
2363,2019-01-01 10:05:00,31409,31430,31404,31415,55,10
2364,2019-01-01 10:10:00,31415,31423,31404,31423,21,10
2365,2019-01-01 10:15:00,31423,31428,31420,31425,18,10
2366,2019-01-01 10:20:00,31421,31435,31395,31400,48,10
2367,2019-01-01 10:25:00,31400,31410,31380,31409,82,10
2368,2019-01-01 10:30:00,31409,31435,31409,31411,93,10
2369,2019-01-01 10:35:00,31411,31428,31410,31410,10,10
2370,2019-01-01 10:40:00,31410,31415,31403,31415,20,10
2371,2019-01-01 10:45:00,31415,31420,31408,31420,9,10
2372,2019-01-01 10:50:00,31420,31420,31420,31420,2,10
2373,2019-01-01 10:55:00,31420,31431,31408,31408,39,10
2374,2019-01-01 11:00:00,31408,31429,31388,31427,60,11
2375,2019-01-01 11:05:00,31426,31429,31400,31400,17,11
2376,2019-01-01 11:10:00,31400,31418,31400,31400,8,11
2377,2019-01-01 11:15:00,31400,31401,31400,31401,2,11
2378,2019-01-01 11:20:00,31401,31401,31400,31401,3,11
2379,2019-01-01 11:25:00,31401,31408,31400,31406,14,11
2380,2019-01-01 11:30:00,31407,31409,31407,31409,3,11
2381,2019-01-01 11:35:00,31409,31410,31400,31400,19,11
2382,2019-01-01 11:40:00,31400,31408,31400,31408,13,11
2383,2019-01-01 11:45:00,31408,31409,31407,31409,2,11
2384,2019-01-01 11:50:00,31409,31413,31405,31413,18,11
2385,2019-01-01 11:55:00,31413,31413,31405,31405,8,11
2386,2019-01-01 12:00:00,31405,31412,31405,31412,1,12
2387,2019-01-01 12:05:00,31412,31414,31412,31414,5,12
2388,2019-01-01 12:10:00,31414,31414,31405,31405,3,12
2389,2019-01-01 12:15:00,31405,31405,31405,31405,0,12
2390,2019-01-01 12:20:00,31405,31405,31405,31405,1,12
2391,2019-01-01 12:25:00,31406,31410,31406,31408,4,12
2392,2019-01-01 12:30:00,31408,31411,31408,31411,1,12
2393,2019-01-01 12:35:00,31411,31414,31411,31411,4,12
2394,2019-01-01 12:40:00,31411,31412,31409,31410,4,12
2395,2019-01-01 12:45:00,31410,31411,31407,31407,3,12
2396,2019-01-01 12:50:00,31407,31407,31407,31407,2,12
2397,2019-01-01 12:55:00,31407,31407,31407,31407,0,12
2398,2019-01-01 13:00:00,31407,31410,31407,31410,2,13
2399,2019-01-01 13:05:00,31410,31414,31410,31413,4,13
2400,2019-01-01 13:10:00,31413,31413,31413,31413,1,13
2401,2019-01-01 13:15:00,31413,31415,31413,31414,10,13
2402,2019-01-01 13:20:00,31414,31414,31414,31414,0,13
2403,2019-01-01 13:25:00,31414,31415,31414,31415,4,13
2404,2019-01-01 13:30:00,31415,31415,31413,31413,1,13
2405,2019-01-01 13:35:00,31413,31417,31413,31417,2,13
2406,2019-01-01 13:40:00,31417,31417,31409,31409,3,13
2407,2019-01-01 13:45:00,31409,31420,31409,31409,35,13
2408,2019-01-01 13:50:00,31409,31420,31409,31418,5,13
2409,2019-01-01 13:55:00,31418,31420,31414,31414,5,13
2410,2019-01-01 14:00:00,31414,31420,31414,31420,6,14
2411,2019-01-01 14:05:00,31420,31420,31409,31409,17,14
2412,2019-01-01 14:10:00,31409,31415,31409,31415,1,14
2413,2019-01-01 14:15:00,31415,31415,31409,31409,3,14
2414,2019-01-01 14:20:00,31409,31409,31409,31409,1,14
2415,2019-01-01 14:25:00,31409,31409,31409,31409,0,14
2416,2019-01-01 14:30:00,31409,31419,31409,31419,8,14
2417,2019-01-01 14:35:00,31419,31419,31410,31417,4,14
2418,2019-01-01 14:40:00,31417,31419,31417,31419,2,14
2419,2019-01-01 14:45:00,31419,31419,31413,31413,4,14
2420,2019-01-01 14:50:00,31413,31413,31413,31413,0,14
2421,2019-01-01 14:55:00,31413,31418,31413,31415,5,14
2422,2019-01-01 15:00:00,31415,31424,31414,31414,11,15
2423,2019-01-01 15:05:00,31413,31416,31403,31416,58,15
2424,2019-01-01 15:10:00,31416,31420,31411,31413,11,15
2425,2019-01-01 15:15:00,31413,31429,31411,31425,118,15
2426,2019-01-01 15:20:00,31425,31426,31416,31416,7,15
2427,2019-01-01 15:25:00,31416,31420,31415,31416,12,15
2428,2019-01-01 15:30:00,31416,31428,31416,31424,28,15
2429,2019-01-01 15:35:00,31424,31426,31420,31426,8,15
2430,2019-01-01 15:40:00,31426,31426,31426,31426,2,15
2431,2019-01-01 15:45:00,31426,31428,31415,31426,39,15
2432,2019-01-01 15:50:00,31426,31427,31418,31420,9,15
2433,2019-01-01 15:55:00,31416,31419,31403,31418,76,15
2434,2019-01-01 16:00:00,31415,31424,31408,31424,61,16
2435,2019-01-01 16:05:00,31424,31424,31416,31416,6,16
2436,2019-01-01 16:10:00,31416,31416,31416,31416,0,16
2437,2019-01-01 16:15:00,31416,31425,31416,31423,15,16
2438,2019-01-01 16:20:00,31423,31423,31412,31421,19,16
2439,2019-01-01 16:25:00,31422,31427,31420,31420,22,16
2440,2019-01-01 16:30:00,31420,31430,31418,31428,44,16
2441,2019-01-01 16:35:00,31428,31430,31416,31419,30,16
2442,2019-01-01 16:40:00,31419,31429,31415,31420,29,16
2443,2019-01-01 16:45:00,31420,31445,31405,31405,124,16
2444,2019-01-01 16:50:00,31405,31417,31405,31411,19,16
2445,2019-01-01 16:55:00,31411,31434,31410,31434,18,16
2446,2019-01-02 09:00:00,31421,31449,31421,31442,59,9
2447,2019-01-02 09:05:00,31442,31442,31369,31410,148,9
2448,2019-01-02 09:10:00,31415,31449,31401,31430,152,9
2449,2019-01-02 09:15:00,31430,31435,31427,31435,13,9
2450,2019-01-02 09:20:00,31435,31440,31407,31422,113,9
2451,2019-01-02 09:25:00,31422,31424,31414,31414,15,9
2452,2019-01-02 09:30:00,31414,31414,31395,31403,45,9
2453,2019-01-02 09:35:00,31403,31412,31403,31410,6,9
2454,2019-01-02 09:40:00,31410,31427,31410,31420,21,9
2455,2019-01-02 09:45:00,31420,31430,31418,31430,9,9
